Phi[deg],Theta[deg],dB(DirTotal)
-180,0,8.44006
-178,0,8.44006
-176,0,8.44006
-174,0,8.44006
-172,0,8.44006
-170,0,8.44006
-168,0,8.44006
-166,0,8.44006
-164,0,8.44006
-162,0,8.44006
-160,0,8.44006
-158,0,8.44006
-156,0,8.44006
-154,0,8.44006
-152,0,8.44006
-150,0,8.44006
-148,0,8.44006
-146,0,8.44006
-144,0,8.44006
-142,0,8.44006
-140,0,8.44006
-138,0,8.44006
-136,0,8.44006
-134,0,8.44006
-132,0,8.44006
-130,0,8.44006
-128,0,8.44006
-126,0,8.44006
-124,0,8.44006
-122,0,8.44006
-120,0,8.44006
-118,0,8.44006
-116,0,8.44006
-114,0,8.44006
-112,0,8.44006
-110,0,8.44006
-108,0,8.44006
-106,0,8.44006
-104,0,8.44006
-102,0,8.44006
-100,0,8.44006
-98,0,8.44006
-96,0,8.44006
-94,0,8.44006
-92,0,8.44006
-90,0,8.44006
-88,0,8.44006
-86,0,8.44006
-84,0,8.44006
-82,0,8.44006
-80,0,8.44006
-78,0,8.44006
-76,0,8.44006
-74,0,8.44006
-72,0,8.44006
-70,0,8.44006
-68,0,8.44006
-66,0,8.44006
-64,0,8.44006
-62,0,8.44006
-60,0,8.44006
-58,0,8.44006
-56,0,8.44006
-54,0,8.44006
-52,0,8.44006
-50,0,8.44006
-48,0,8.44006
-46,0,8.44006
-44,0,8.44006
-42,0,8.44006
-40,0,8.44006
-38,0,8.44006
-36,0,8.44006
-34,0,8.44006
-32,0,8.44006
-30,0,8.44006
-28,0,8.44006
-26,0,8.44006
-24,0,8.44006
-22,0,8.44006
-20,0,8.44006
-18,0,8.44006
-16,0,8.44006
-14,0,8.44006
-12,0,8.44006
-10,0,8.44006
-8,0,8.44006
-6,0,8.44006
-4,0,8.44006
-2,0,8.44006
0,0,8.44006
2,0,8.44006
4,0,8.44006
6,0,8.44006
8,0,8.44006
10,0,8.44006
12,0,8.44006
14,0,8.44006
16,0,8.44006
18,0,8.44006
20,0,8.44006
22,0,8.44006
24,0,8.44006
26,0,8.44006
28,0,8.44006
30,0,8.44006
32,0,8.44006
34,0,8.44006
36,0,8.44006
38,0,8.44006
40,0,8.44006
42,0,8.44006
44,0,8.44006
46,0,8.44006
48,0,8.44006
50,0,8.44006
52,0,8.44006
54,0,8.44006
56,0,8.44006
58,0,8.44006
60,0,8.44006
62,0,8.44006
64,0,8.44006
66,0,8.44006
68,0,8.44006
70,0,8.44006
72,0,8.44006
74,0,8.44006
76,0,8.44006
78,0,8.44006
80,0,8.44006
82,0,8.44006
84,0,8.44006
86,0,8.44006
88,0,8.44006
90,0,8.44006
92,0,8.44006
94,0,8.44006
96,0,8.44006
98,0,8.44006
100,0,8.44006
102,0,8.44006
104,0,8.44006
106,0,8.44006
108,0,8.44006
110,0,8.44006
112,0,8.44006
114,0,8.44006
116,0,8.44006
118,0,8.44006
120,0,8.44006
122,0,8.44006
124,0,8.44006
126,0,8.44006
128,0,8.44006
130,0,8.44006
132,0,8.44006
134,0,8.44006
136,0,8.44006
138,0,8.44006
140,0,8.44006
142,0,8.44006
144,0,8.44006
146,0,8.44006
148,0,8.44006
150,0,8.44006
152,0,8.44006
154,0,8.44006
156,0,8.44006
158,0,8.44006
160,0,8.44006
162,0,8.44006
164,0,8.44006
166,0,8.44006
168,0,8.44006
170,0,8.44006
